Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
David's Dilemma;04/09/2012;Paphiopedilum;O/U;S.Condon;Verde Oro;Jolly Green Gem;This is not a synonym
Daviesianum;01/01/1893;Paphiopedilum;Statter;Statter;boxallii;argus;This is  a synonym
Davisville;01/11/1987;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Sparsholt;Vale;This is not a synonym
Davos;01/01/1928;Paphiopedilum;S.Low;S.Low;Lillie Mayall;Birkdalense;This is not a synonym
Davos II;01/01/1934;Paphiopedilum;Posnett;Posnett;Radium;Mrs. Eley;This is not a synonym
Davout;01/01/1975;Paphiopedilum;Vach.;Vach.;Aspac;Exelmans;This is not a synonym
Davy Thompson;01/01/1940;Paphiopedilum;Jensen;Jensen;Ogon;Martin;This is not a synonym
Dawit Andermariam;21/01/2004;Paphiopedilum;Orchid House;G.Lawless;Pacific Ocean;Via Molinos;This is not a synonym
Dawn;01/01/1927;Paphiopedilum;Bruce-Wrigley;Bruce-Wrigley;Nitens-Leeanum;Armistice II;This is not a synonym
Dawn Ballet;01/01/1989;Paphiopedilum;Stewart Orch.;Stewart Orch.;Psyche;Punch Line;This is not a synonym
Dawn Cameron;01/01/1941;Paphiopedilum;Miss Wrigley;Miss Wrigley;Morning;Clansman;This is not a synonym
Dawn Chorus;01/01/1973;Paphiopedilum;The Lord Sieff;Ratcliffe;Spring Vigil;Ranleigh;This is not a synonym
Dawn Dancer;01/01/1960;Paphiopedilum;Stirling;Stirling;Delightful Dawn;Anna Pavlova;This is not a synonym
Dawn Fairy;01/01/1972;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;fairrieanum;Rosy Dawn;This is not a synonym
Dawn Glory;13/01/1999;Paphiopedilum;M.Pendleton;Orchid Zone;Memoria Robert Ward;Red Glory;This is not a synonym
Dawn Light;06/06/1991;Paphiopedilum;F.R.Haynes;F.R.Haynes;Tangold;Dartington;This is not a synonym
Dawn Marie Booth;03/04/1995;Paphiopedilum;F.Booth;F.Booth;Prim-n-Proper;Via Clara Ruggiero;This is not a synonym
Dawn Mist;01/01/1955;Paphiopedilum;E.W.McLellan;Rod McLellan Co.;callosum;Harri-Leeanum;This is not a synonym
Dawn Powers;26/08/1992;Paphiopedilum;F.Booth;F.Booth;Jogjae;glanduliferum;This is not a synonym
Dawn Puddle;13/03/2007;Paphiopedilum;O/U;RHS;F. C. Puddle;Eles Dawn;This is not a synonym
Dawn Ruby;12/01/1994;Paphiopedilum;T.Root;Orchid Zone;Red Maude;Startler;This is not a synonym
Dawn Vale;07/03/2011;Paphiopedilum;O/U;Y.Kato;Greenvale;Lime Dawn;This is not a synonym
Dawn's Early Light;23/10/2001;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Nulight;Rosy Dawn;This is not a synonym
Dawngold;01/01/1950;Paphiopedilum;S.Low;S.Low;Morning Gold;Beaufort;This is not a synonym
Dawson Creek;01/01/1982;Paphiopedilum;G.A.Wright;G.A.Wright;Red Creek;Rosy Dawn;This is not a synonym
Daya Welt;12/09/2003;Paphiopedilum;In-Charm O.N.;In-Charm O.N.;sanderianum;Starr Warr;This is not a synonym
Dayak Warrior;29/06/2008;Paphiopedilum;R-J.Quené;Orchids Ltd [MN];Prince Edward of York;kolopakingii;This is not a synonym
Dayano-Curtisii;01/01/1900;Paphiopedilum;O.Ames;O.Ames;dayanum;curtisii;This is  a synonym
Dayano-Swanianum;01/01/1900;Paphiopedilum;Opoix;Opoix;Swanianum;dayanum;This is  a synonym
Dayano-veitchii;01/01/1900;Paphiopedilum;Opoix;Opoix;superbiens;dayanum;This is  a synonym
Dayano-Veitchii;;Paphiopedilum;Unknown;Unknown;superbiens;dayanum;This is  a synonym
Daybreak;20/08/1991;Paphiopedilum;Ratcliffe;Ratcliffe;Psyche;Copperware;This is not a synonym
Daydream;01/01/1964;Paphiopedilum;Clark Day;W.T.Burns;Floralies;Dorothy Vernon;This is not a synonym
Dayhurst;21/10/2003;Paphiopedilum;M.Yamazaki;M.Yamazaki;Denehurst;Lambert Day;This is not a synonym
Daylight Saving;24/10/2011;Paphiopedilum;S.Condon;S.Condon;Dusty Miller;Pathfinder Heritage;This is not a synonym
Dayshine;01/01/1980;Paphiopedilum;Ratcliffe;Ratcliffe;Sarella;Perfect Harmony;This is not a synonym
Daysong;01/01/1979;Paphiopedilum;Ratcliffe;Ratcliffe;Lyric;Dakar;This is not a synonym
Daytripper;01/10/2003;Paphiopedilum;A.Easton;Mukoyama;Golden Days;London Diversion;This is not a synonym
Dazzland;05/02/2001;Paphiopedilum;M.Kimura;Mukoyama;Troyland;Dazzler;This is not a synonym
Dazzler;01/11/1967;Paphiopedilum;Ratcliffe;Ratcliffe;Rollright;Inferno;This is not a synonym
Dazzling World;01/11/1978;Paphiopedilum;Ratcliffe;Ratcliffe;Dazzler;Small World;This is not a synonym
De Bosscherianum;01/01/1892;Paphiopedilum;Vuylsteke;Vuylsteke;spicerianum;barbatum;This is  a synonym
De Geonnais;18/02/2009;Paphiopedilum;E.Young O.F.;E.Young O.F.;La Hougette;Seymour Tower;This is not a synonym
De La Chapelle;29/12/2003;Paphiopedilum;E.Young O.F.;E.Young O.F.;Quennevais;Pacific Ocean;This is not a synonym
De la Clochette;01/11/2005;Paphiopedilum;E.Young O.F.;E.Young O.F.;Vicard Point;Andronicus;This is not a synonym
De Mesmaeckerianum;01/01/1903;Paphiopedilum;Stepman;Stepman;villosum;Leeanum;This is  a synonym
De Nachtwacht;28/06/2007;Paphiopedilum;R-J.Quené;Orchids Ltd [MN];rothschildianum;Voodoo McNay;This is not a synonym
De Quetteville;18/02/2009;Paphiopedilum;E.Young O.F.;E.Young O.F.;W. Stevens;Prince Edward of York;This is not a synonym
De Vere;01/01/1905;Paphiopedilum;Wellesley;Wellesley;charlesworthii;Aureum;This is not a synonym
De Witt Smith;01/01/1889;Paphiopedilum;Low;Low;spicerianum;lowii;This is not a synonym
Dead Ringer;04/02/2002;Paphiopedilum;D.Pulley;D.Pulley;gratrixianum;glaucophyllum;This is not a synonym
Deadly Charm;09/09/1992;Paphiopedilum;Ratcliffe;Ratcliffe;Braidwood;Personality;This is not a synonym
Deadwood Trail;01/01/1979;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Serape;Burleigh Mohur;This is not a synonym
Dealer's Choice;28/11/1997;Paphiopedilum;Orchids Royale;Orchids Royale;Treevill Winston;fairrieanum;This is not a synonym
Deanhill;01/01/1975;Paphiopedilum;R.McElderry;R.McElderry;Littledean;Winston Churchill;This is not a synonym
Deansgate;01/01/1952;Paphiopedilum;S.Low;S.Low;Bahram;Christopher;This is not a synonym
Dear Heart;01/01/1973;Paphiopedilum;J.Hanes;J.Hanes;Mariano Martin;La Honda;This is not a synonym
Dear Irene;01/01/1979;Paphiopedilum;J.Hanes;J.Hanes;Little Irene;La Honda;This is not a synonym
Dear John;01/01/1972;Paphiopedilum;Ratcliffe;Ratcliffe;Redstart;Dalla;This is not a synonym
Dearmach;02/04/2002;Paphiopedilum;J.Yates;J.Yates;spicerianum;Denehurst;This is not a synonym
Death Note;08/05/2007;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;S. Gratrix;Muriel Constance;This is not a synonym
Death Star;24/09/2012;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;bellatulum;Death Note;This is not a synonym
Death Valley;01/01/1984;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Hellas;Moondust;This is not a synonym
Debbie Robinson;01/11/1988;Paphiopedilum;Stewart Orch.;W.Werntz;wardii;appletonianum;This is not a synonym
Debi Boyd;01/01/1980;Paphiopedilum;G.Boyd;G.Boyd;Alma Gevaert;Yerba Buena;This is not a synonym
Debora;13/01/2009;Paphiopedilum;R.Klinge;O.Gruss;micranthum;jackii;This is not a synonym
Deborah Norville;08/01/1996;Paphiopedilum;F.Booth;F.Booth;Glorious Puddle;Lucille Mackey;This is not a synonym
Debra Jean;01/01/1984;Paphiopedilum;J.Hanes;F.Booth;Sardero;Diversion;This is not a synonym
Debra Rose Bolles;14/06/1993;Paphiopedilum;F.Booth;F.Booth;glaucophyllum;Berenice;This is not a synonym
Debra's Edition;30/05/1991;Paphiopedilum;F.Booth;F.Booth;Debra Jean;New Edition;This is not a synonym
Debutante;30/12/2010;Paphiopedilum;T.Whitaker;Marriott Orchids;henryanum;California Queen;This is not a synonym
Decameron;01/01/1932;Paphiopedilum;Alexander;Alexander;Muriel II;Garibaldi;This is not a synonym
December Sunset;06/01/2011;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Lunacy;Hampshire Greentree;This is not a synonym
December Surprise;13/11/2006;Paphiopedilum;Saeki Nurs.;T.Tozuka;Indian Ocean;Hamana December;This is not a synonym
Deception;01/01/1893;Paphiopedilum;Dr Carnus;Dr Carnus;venustum;hirsutissimum;This is not a synonym
Deception II;01/01/1942;Paphiopedilum;Cooke;Cooke;niveum;delenatii;This is not a synonym
Deceptively  Venus;13/08/2012;Paphiopedilum;Lehua;Lehua;venustum;Double Deception;This is not a synonym
Decia;01/01/1902;Paphiopedilum;Bull;Bull;Superciliare;charlesworthii;This is not a synonym
Decipiens;01/01/1899;Paphiopedilum;Duval;Duval;lawrenceanum;charlesworthii;This is not a synonym
Decorina;01/01/1932;Paphiopedilum;McLaren;McLaren;Mrs. Keppel;Cardinal;This is not a synonym
Decorum (1892);01/01/1892;Paphiopedilum;Hye;Hye;Nitens;lawrenceanum;This is  a synonym
Decorum (1949);01/01/1949;Paphiopedilum;Stirling;Stirling;Metta;John Keeling;This is not a synonym
Deedmannianum;01/01/1897;Paphiopedilum;Latham;Latham;spicerianum;chamberlainianum;This is not a synonym
Deejay Originals;01/01/1989;Paphiopedilum;D.;D.;adductum;concolor;This is not a synonym
Deena Booth;04/07/1994;Paphiopedilum;F.Booth;F.Booth;Deena Nicol;Susan Booth;This is not a synonym
Deena Low;06/07/1994;Paphiopedilum;F.Booth;F.Booth;lowii;Deena Nicol;This is not a synonym
Deena Nicol;01/11/1987;Paphiopedilum;C.;Paphanatics;glanduliferum;philippinense;This is not a synonym
Deep Creek;01/01/1980;Paphiopedilum;C.W.Hayward;C.W.Hayward;Bit-O'-Sunshine;London Wall;This is not a synonym
Deep River;01/01/1956;Paphiopedilum;Keeling;Keeling;Miss Amy Johnson;River Plate;This is not a synonym
Deepdene;01/01/1935;Paphiopedilum;C.Cookson;C.Cookson;Windrush;Chrysostom;This is not a synonym
Deepspace;01/07/1994;Paphiopedilum;T.Root;Orchid Zone;Hellas;Docteur Knock;This is not a synonym
Deer Lake;10/10/2006;Paphiopedilum;B.Fraser;Woodstream;Sunline;In-Charm Greenery;This is not a synonym
Deerose;01/01/1952;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Rosemary Waithman;Reindeer;This is not a synonym
Defiant;01/01/1940;Paphiopedilum;Black ;Black ;Euryostom;Chloristopher;This is not a synonym
Definative;24/03/1992;Paphiopedilum;Ratcliffe;Ratcliffe;Paeony;Danella;This is not a synonym
Defoe;01/01/1947;Paphiopedilum;Black ;Black ;Mayfair;Dickler;This is not a synonym
Deichgraf;01/11/1980;Paphiopedilum;Lemförder Orch.;Lemförder Orch.;Clyde Sanford;Queen Maud;This is not a synonym
Deimos;01/01/1939;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Hestia;Eurybiades;This is not a synonym
Del Cuddeback;25/11/1994;Paphiopedilum;W.Werntz;W.Werntz;Helgi;Wildroot;This is not a synonym
Del Nieve;24/06/1992;Paphiopedilum;T.Root;Orchid Zone;niveum;Delrosi;This is not a synonym
Delacroix;01/01/1945;Paphiopedilum;V.;V.;Sully;Perseus;This is not a synonym
Deladu;11/08/1995;Paphiopedilum;A.Wm.Smith;R.;delenatii;adductum;This is not a synonym
Delamere;01/01/1952;Paphiopedilum;Stirling;Stirling;Miss Amy Johnson;Great Mogul;This is not a synonym
Delaware;01/01/1955;Paphiopedilum;Keeling;Stirling;Albert Fell;Rhine;This is not a synonym
Delectable;01/01/1979;Paphiopedilum;Ratcliffe;Ratcliffe;Danella;F. C. Puddle;This is not a synonym
Deleham;01/01/1980;Paphiopedilum;J.F.Hughes;Rod McLellan Co.;delenatii;Puddleham;This is not a synonym
Deley;01/01/1954;Paphiopedilum;Black ;Black ;Mrs. Eley;Doris Black;This is not a synonym
Delezelle;01/01/1982;Paphiopedilum;J.Hanes;J.Hanes;Red Model;Redezelle;This is not a synonym
Delhi;01/01/1913;Paphiopedilum;Wellesley;Wellesley;insigne;Earl of Tankerville;This is not a synonym
Deli Saint;18/01/1993;Paphiopedilum;F.Booth;F.Booth;delenatii;Saint Swithin;This is not a synonym
Delia;01/01/1934;Paphiopedilum;Alexander;Alexander;Laertes;Chrysostom;This is not a synonym
Delicacy;16/04/1991;Paphiopedilum;Ratcliffe;Ratcliffe;delenatii;Chaffyn;This is not a synonym
Delicate Lady;11/04/2001;Paphiopedilum;Stewart Orch.;H.P.Hargreaves;Mount Toro;Gina Short;This is not a synonym
Delicate Rose;01/01/1989;Paphiopedilum;Ratcliffe;Ratcliffe;Nivarose;delenatii;This is not a synonym
Delicatulum;01/01/1887;Paphiopedilum;D.Drewett;D.Drewett;dayanum;barbatum;This is  a synonym
Delicatum;01/01/1894;Paphiopedilum;Hye;Hye;spicerianum;Nitens;This is  a synonym
Delight;01/01/1935;Paphiopedilum;Miss Wrigley;Miss Wrigley;Tantroilus;Earl Delhi;This is not a synonym
Delight Dodds;01/01/1963;Paphiopedilum;Bracey;Bracey;Gwenpur;Lady Sara;This is not a synonym
Delight Scene;17/07/2009;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Tokyo Val Knight;San Francisco;This is not a synonym
Delightful;01/01/1948;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Golden Wren;Babylon;This is not a synonym
Delightful Dawn;01/01/1949;Paphiopedilum;Stirling;Stirling;Helen P. Dane;Florence Spencer;This is not a synonym
Delightfully Harold;13/08/2012;Paphiopedilum;Lehua;Lehua;delenatii;Harold Koopowitz;This is not a synonym
Delirious;23/02/1993;Paphiopedilum;T.Root;Orchid Zone;Geraldine;Coral Sea;This is not a synonym
Delius;01/01/1928;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Rowland;Proserpine;This is not a synonym
Dell Booth;05/10/1994;Paphiopedilum;F.Booth;F.Booth;Delrosi;Lucille Mackey;This is not a synonym
Dellaina;01/11/1977;Paphiopedilum;Ratcliffe;Ratcliffe;chamberlainianum;delenatii;This is not a synonym
Dellense (1903);01/01/1903;Paphiopedilum;Schroder;Schroder;Lathamianum;insigne;This is  a synonym
Dellense (1907);01/01/1907;Paphiopedilum;Schroder;Schroder;rothschildianum;mastersianum;This is not a synonym
Delodin;01/01/1943;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Odin;delenatii;This is not a synonym
Delophyllum;01/11/1940;Paphiopedilum;Black ;Black ;glaucophyllum;delenatii;This is not a synonym
Deloraine;15/01/2008;Paphiopedilum;E.Young O.F.;E.Young O.F.;armeniacum;Rod McLellan;This is not a synonym
Deloris;01/01/1946;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Chloris;delenatii;This is not a synonym
Delphi;01/01/1983;Paphiopedilum;L.Birk;P.Bechtel;philippinense;delenatii;This is not a synonym
Delphine;01/01/1938;Paphiopedilum;Alexander;Alexander;Gwen Hannen;Eldorado (1933);This is not a synonym
Delphinus;01/01/1956;Paphiopedilum;Bracey;Bracey;Hellas;Delysia;This is not a synonym
Delphos;01/01/1954;Paphiopedilum;Broughton;Broughton;Dianella;Roxelane;This is not a synonym
Delrosi;01/01/1961;Paphiopedilum;Vach.;Vach.;rothschildianum;delenatii;This is not a synonym
Delseus;01/01/1946;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Perseus;delenatii;This is not a synonym
Delta;01/01/1930;Paphiopedilum;R.W.Jones;R.W.Jones;Minotaur;A. K. Berry;This is not a synonym
Delta Way;09/09/1992;Paphiopedilum;Ratcliffe;Ratcliffe;Danella;Letozia;This is not a synonym
Delusion;01/01/1936;Paphiopedilum;Miss Wrigley;Miss Wrigley;Jessie II;Astarte;This is not a synonym
Delvista;01/01/1969;Paphiopedilum;Cosanka;E.Gunzenhauser;delenatii;Vista;This is not a synonym
Delysia;01/01/1939;Paphiopedilum;Alexander;Alexander;Marmion;Atlantis;This is not a synonym
Demeter;01/01/1912;Paphiopedilum;H.;H.;G. F. Moore (1930);Earl of Tankerville;This is not a synonym
Demetria;01/01/1984;Paphiopedilum;Robert D.Jones;D.;chamberlainianum;Van Ness;This is not a synonym
Demetrios Pynes;18/01/2011;Paphiopedilum;H.Tan;H.Tan;tigrinum;victoria-regina;This is not a synonym
Demie de Fremont;09/10/2003;Paphiopedilum;E.Young O.F.;E.Young O.F.;Vicard Point;La Rosiere;This is not a synonym
Demie de Pas;18/01/1999;Paphiopedilum;E.Young O.F.;E.Young O.F.;Greenstede;Saint Ouen;This is not a synonym
Demmel's Faszination;02/03/2004;Paphiopedilum;G.Demmel;G.Demmel;W. Stevens;Iantha Stage;This is not a synonym
Demmel's Gigant;18/06/2008;Paphiopedilum;G.Demmel;G.Demmel;emersonii;Hilda Zach;This is not a synonym
Demmel's Green Tiger;18/06/2008;Paphiopedilum;G.Demmel;G.Demmel;curtisii;Angel Hair;This is not a synonym
Demmel's Happy Louis;19/06/2008;Paphiopedilum;G.Demmel;G.Demmel;vietnamense;chamberlainianum;This is not a synonym
Demmel's Lady Christina;19/06/2008;Paphiopedilum;G.Demmel;G.Demmel;delenatii;Max Sandbichler;This is not a synonym
Demmel's Lady Michaela;19/06/2008;Paphiopedilum;G.Demmel;G.Demmel;micranthum;haynaldianum;This is not a synonym
Demmel's Leoni Marie;19/06/2008;Paphiopedilum;G.Demmel;G.Demmel;hirsutissimum;Iantha Stage;This is not a synonym
Demmel's Little Puppet;18/06/2008;Paphiopedilum;G.Demmel;G.Demmel;Deperle;micranthum;This is not a synonym
Demmel's Louis;19/06/2008;Paphiopedilum;G.Demmel;G.Demmel;micranthum;Aladin;This is not a synonym
Demmel's Rosa Sunrise;18/06/2008;Paphiopedilum;G.Demmel;G.Demmel;vietnamense;niveum;This is not a synonym
Demmel's Spring Sensation;19/06/2008;Paphiopedilum;G.Demmel;G.Demmel;gigantifolium;haynaldianum;This is not a synonym
Demofair;01/01/1971;Paphiopedilum;Ratcliffe;Ratcliffe;F. C. Puddle;Zephyr (1969);This is not a synonym
Demspots;02/08/2007;Paphiopedilum;R.van Rooyen;R.van Rooyen;Crinoline de Valec;World Beater;This is not a synonym
Demura;01/01/1966;Paphiopedilum;Ratcliffe;Ratcliffe;bellatulum;Blendia;This is not a synonym
Den En;14/06/1999;Paphiopedilum;Ratcliffe;H.Oizumi;Qantas;Future World;This is not a synonym
Dena;01/01/1960;Paphiopedilum;Ratcliffe;Ratcliffe;Denehurst;Selina;This is not a synonym
Dena Kennedy;19/01/1993;Paphiopedilum;Baker ;Baker ;Thunder Bay;Fall Brook;This is not a synonym
Dena Snow;01/01/1969;Paphiopedilum;L.W.Brummitt;L.W.Brummitt;Snow Bunting;Dena;This is not a synonym
Dena Vincent;01/01/1955;Paphiopedilum;Sanders[St Albans];Mrs P.Phillips;spicerianum;Gold Rush;This is not a synonym
Dencoria;01/01/1987;Paphiopedilum;Ratcliffe;Ratcliffe;Paeony;Cholsey;This is not a synonym
Dene Martin;01/01/1973;Paphiopedilum;Armacost;Armacost;Mariano Martin;Denehurst;This is not a synonym
Denehurst;01/11/1943;Paphiopedilum;Cooke;Cooke;Lady Mona;Dervish;This is not a synonym
Denesta;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Nesta II;Desdemona (1914);This is not a synonym
Denham;01/01/1928;Paphiopedilum;Black ;Black ;J. M. Black;Alcibiades;This is not a synonym
Denholme;01/01/1932;Paphiopedilum;Keeling;Keeling;Shogun;Nitens-Leeanum;This is not a synonym
Denise;01/01/1927;Paphiopedilum;S.Low;S.Low;Cymatodes;bellatulum;This is not a synonym
Denisianum (1893);01/01/1893;Paphiopedilum;Vervaet;Vervaet;spicerianum;boxallii;This is  a synonym
Denisianum (1984);01/01/1894;Paphiopedilum;Linden;Linden;superbiens;Peetersianum;This is  a synonym
Dennis Kleinbach;23/11/1990;Paphiopedilum;Baker ;Baker ;Sheila Hanes;Onyx;This is not a synonym
Denobian Moon;16/08/2004;Paphiopedilum;N.Tannaci;Marriott Orchids;Norito Hasegawa;Asteroid;This is not a synonym
Denobian World;16/08/2004;Paphiopedilum;N.Tannaci;Marriott Orchids;malipoense;Memoria Richard Steele;This is not a synonym
Denshaw;01/01/1933;Paphiopedilum;Keeling;Keeling;Prince Albert;Perseus;This is not a synonym
Denstone;01/01/1989;Paphiopedilum;F.R.Haynes;F.R.Haynes;F. C. Puddle;Vashon Sundance;This is not a synonym
Dent Blanche;01/01/1969;Paphiopedilum;Cosanka;E.Gunzenhauser;Vestalia;Crastia;This is not a synonym
Departure;07/08/2006;Paphiopedilum;A.Sano;A.Sano;Hamana Great;Hamana Sea;This is not a synonym
Depeche Mode;31/05/2006;Paphiopedilum;K.Takeshita;K.Takeshita;Double Trix;bellatulum;This is not a synonym
Deperle;01/01/1980;Paphiopedilum;Marcel Lecoufle;Marcel Lecoufle;delenatii;primulinum;This is not a synonym
Dercetis;01/01/1916;Paphiopedilum;Hanbury;Hanbury;Troilus;Robsonii;This is not a synonym
Derdene;01/01/1961;Paphiopedilum;Stewart Inc.;Stewart Inc.;Denehurst;Dervish;This is not a synonym
Derek Luke;21/01/2004;Paphiopedilum;Orchid House;G.Lawless;Western World;Via Laguna;This is not a synonym
Deridon;01/01/1979;Paphiopedilum;Ratcliffe;Ratcliffe;Celadon;Sunland;This is not a synonym
Derocles;01/11/1971;Paphiopedilum;R.McElderry;R.McElderry;Divisadero;Pericles;This is not a synonym
Dervish;01/01/1938;Paphiopedilum;Cooke;Cooke;Grace Darling;Bordube;This is not a synonym
Dervois;01/01/1939;Paphiopedilum;Cooke;Cooke;Robert Paterson;Albert Fisher;This is not a synonym
Derwent;01/01/1933;Paphiopedilum;Horridge;Horridge;King George V;Hitchinsiae;This is not a synonym
Deryks Worra;28/03/2012;Paphiopedilum;O/U;ORCHIDbabies;Flame Arrow;Red Sky;This is not a synonym
Des Alleurs;09/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Paternoster;La Rousse;This is not a synonym
Des Bruleries;01/07/2009;Paphiopedilum;E.Young O.F.;E.Young O.F.;vietnamense;Deperle;This is not a synonym
Des Buttes;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Demie de Pas;Rod McLellan;This is not a synonym
Des Catieux;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Moulin de Fliquet;La Hougette;This is not a synonym
Des Fontenelles;09/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Saint Ouen;Du Vieux Menage;This is not a synonym
Des Hamonnets;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;La Garenne;Seymour Tower;This is not a synonym
Des Potirons;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;La Blinerie;White King;This is not a synonym
Des Pres Soleil;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Saint Ouen;La Garenne;This is not a synonym
Des Sablons;01/07/2009;Paphiopedilum;E.Young O.F.;E.Young O.F.;Paternoster;Crazy Horse;This is not a synonym
Des Sillons;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Paternoster;Darwin;This is not a synonym
Des Varvots;16/06/2011;Paphiopedilum;E.Young O.F.;E.Young O.F.;Frank Pearce;Seymour Tower;This is not a synonym
Desboisianum;01/01/1890;Paphiopedilum;Vervaet;Vervaet;venustum;boxallii;This is  a synonym
Desca;01/01/1966;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Desire;Caratica;This is not a synonym
Descombesiae;01/01/1894;Paphiopedilum;Opoix;Opoix;Oenanthum;argus;This is  a synonym
Descombesii;01/01/1899;Paphiopedilum;Opoix;Opoix;ciliolare;barbatum;This is  a synonym
Desdemona (1903);01/01/1903;Paphiopedilum;Low;Low;niveum;Gowerianum;This is  a synonym
Desdemona (1914);01/01/1914;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Mrs. Carey Batten;Alcibiades;This is not a synonym
Desdichado;01/01/1933;Paphiopedilum;Bruce-Wrigley;Bruce-Wrigley;?;Invincible;This is not a synonym
Desert Gem;28/10/2003;Paphiopedilum;Orchid Zone;Paphanatics;Makmaster;Living Desert;This is not a synonym
Desert Heritage;28/02/2009;Paphiopedilum;B.Fraser;Woodstream;Kimura's Present;Peter Pernar;This is not a synonym
Desert Ice;18/04/2005;Paphiopedilum;Paphanatics;N.Mochizuki;Desert Spring;Makuli;This is not a synonym
Desert Moon;11/11/2005;Paphiopedilum;Kita-Cal;Kita-Cal;Skip Bartlett;Irish Eyes;This is not a synonym
Desert Phantom;20/11/2007;Paphiopedilum;Kita-Cal;Kita-Cal;Ice Castle;Gege Hughes;This is not a synonym
Desert Queen;28/10/2003;Paphiopedilum;Paphanatics;Paphanatics;emersonii;Lynleigh Koopowitz;This is not a synonym
Desert Rain;28/02/2008;Paphiopedilum;B.Fraser;Woodstream;Pavatree;Peter Pernar;This is not a synonym
Desert Rose;27/04/2009;Paphiopedilum;Kita-Cal;Kita-Cal;Dusky Veil;Ice Castle;This is not a synonym
Desert Sands;01/11/1964;Paphiopedilum;S.Farnes;Stirling;Banchory;Desert Song;This is not a synonym
Desert Sky;01/11/1994;Paphiopedilum;J.Cash;J.Cash;Salty;charlesworthii;This is not a synonym
Desert Snow;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;White Legacy;Death Valley;This is not a synonym
Desert Song;01/01/1952;Paphiopedilum;S.Farnes;S.Farnes;Memoria W. H. White;Desert Sun;This is not a synonym
Desert Spring;14/12/1998;Paphiopedilum;M.Pendleton;Orchid Zone;Oriental Mystique;Living Desert;This is not a synonym
Desert Star;24/01/2000;Paphiopedilum;Mochizuki Orch.;Mochizuki Orch.;Masterhold;Starry Sky;This is not a synonym
Desert Storm;31/05/1995;Paphiopedilum;O.Viengkhou;O.Viengkhou;Tangold;Wellesleyanum;This is not a synonym
Desert Sun;01/11/1944;Paphiopedilum;S.Farnes;S.Farnes;Mrs. Geoffrey Webb;Golden Emblem;This is not a synonym
Desert Tortoise;01/01/1981;Paphiopedilum;Stewart Inc.;Stewart Inc.;Hunston;Sandra Mary;This is not a synonym
Design Glen;20/10/2009;Paphiopedilum;Green Note;Green Note;Lippewunder;Kenglen;This is not a synonym
Desirade;01/01/1968;Paphiopedilum;Vach.;Vach.;Desire;Dora;This is not a synonym
Desirama;01/01/1975;Paphiopedilum;Vach.;Vach.;Desire;Dorama;This is not a synonym
Desire;01/01/1939;Paphiopedilum;Cooke;Cooke;Luna;Golden Wren;This is not a synonym
Desiree;01/01/1930;Paphiopedilum;A.E.Dale;A.E.Dale;Selene;Desdemona (1914);This is not a synonym
Desiree Grace Groves;17/05/2010;Paphiopedilum;Kita-Cal;L.Luu;Memoria Hirohisa Kawai;Conco-bellatulum;This is not a synonym
Desormes;18/01/1999;Paphiopedilum;E.Young O.F.;E.Young O.F.;Green Gold;Freckles;This is not a synonym
Destiny;01/01/1955;Paphiopedilum;Cooke;Cooke;Lucid;Desire;This is not a synonym
Desuna;01/01/1951;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Luna;Desdemona (1914);This is not a synonym
Detaille;01/01/1935;Paphiopedilum;V.;V.;Lemanii Ducis;Columbus;This is not a synonym
