Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
Lovely Mie;14/05/1992;Paphiopedilum;H.Takahashi;H.Takahashi;Verde Oro;Caddiana;This is not a synonym
Lovely Moment;01/06/2012;Paphiopedilum;Green Note;Green Note;Stone Lovely;Todd Clark;This is not a synonym
Lovely Noriko;05/06/2007;Paphiopedilum;M.Myotoku;M.Myotoku;Wössner Vollmond;micranthum;This is not a synonym
Lovely Parade;08/01/2002;Paphiopedilum;Mukoyama;Mukoyama;Lovely Present;Malaguena Paradise;This is not a synonym
Lovely Penny;11/12/1998;Paphiopedilum;Mukoyama;Mukoyama;Kay Penny;Shower Meadow;This is not a synonym
Lovely Present;24/04/1991;Paphiopedilum;Mukoyama;Mukoyama;Overraeus;Memoria Doctor Tsuchiya;This is not a synonym
Lovely Smile;08/02/1993;Paphiopedilum;H.Takahashi;H.Takahashi;Canberra;Noble Winston;This is not a synonym
Lovely Spirit;30/12/2010;Paphiopedilum;Marriott Orchids;Marriott Orchids;Friendly Spirit;Valerie Tonkin;This is not a synonym
Lovely Spot;23/06/2008;Paphiopedilum;T.Kayahara;T.Kayahara;Hamana Mach;Thunder Bay;This is not a synonym
Lovely Time;08/06/2010;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Shillelagh;Stone Lovely;This is not a synonym
Lovely Today;29/08/1996;Paphiopedilum;Mukoyama;Mukoyama;Lovely Yard;Lovely Present;This is not a synonym
Lovely Tree;17/07/1990;Paphiopedilum;M.Kimura;M.Kimura;Tree of Beauty;Amanda;This is not a synonym
Lovely Winchi;08/01/2002;Paphiopedilum;Mukoyama;Mukoyama;Winston Churchill;Lovely Present;This is not a synonym
Lovely Window;08/01/2002;Paphiopedilum;Mukoyama;Mukoyama;Winston Churchill;Lovely Yard;This is not a synonym
Lovely Yard;24/04/1991;Paphiopedilum;Mukoyama;Mukoyama;Engraved;Golden Acres;This is not a synonym
Lovenity;01/01/1973;Paphiopedilum;The Lord Sieff;Ratcliffe;Minster Lovell;Serenity;This is not a synonym
Lover's Lane;20/12/2000;Paphiopedilum;Mochizuki Orch.;Mochizuki Orch.;Love Song;Oriental Frieze;This is not a synonym
Lover's Leap;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;Amanda;Wend Valley;This is not a synonym
Lovey-Dovey;18/05/2011;Paphiopedilum;Kita-Cal;Kita-Cal;Knight's Vow;Grey Ghost;This is not a synonym
Low Hum;22/01/1992;Paphiopedilum;K.Porter;Curved Air;adductum;lowii;This is not a synonym
Low Indigo;29/11/1990;Paphiopedilum;K.Porter;Curved Air;Vintner's Treasure;lowii;This is not a synonym
Low Lebeau;28/04/2011;Paphiopedilum;S.Takanashi;S.Takanashi;lowii;Lebeau;This is not a synonym
Lowar Honi;01/01/1979;Paphiopedilum;Holm Nielsen;Holm Nielsen;argus;lowii;This is not a synonym
Lowegrenianum;01/01/1893;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];spicerianum;Io;This is not a synonym
Lowiedgar;01/01/1953;Paphiopedilum;van Son;van Son;lowii;Edgar;This is not a synonym
Lowii-superbiens;01/01/1882;Paphiopedilum;Lawrence;Lawrence;superbiens;lowii;This is  a synonym
Lowii-villosum;01/01/1896;Paphiopedilum;Madoux;Madoux;villosum;lowii;This is  a synonym
Lowio-Parishii;01/01/1904;Paphiopedilum;D.Drewett;D.Drewett;parishii;lowii;This is  a synonym
